n,e,pop
6464000,606000,15
6467000,606000,19
6468000,606000,21
6469000,606000,11
6470000,606000,29
6471000,606000,8
6473000,606000,3
6475000,606000,4
6476000,606000,3
6477000,606000,3
6480000,606000,12
6482000,606000,3
6484000,606000,7
6485000,606000,3
6487000,606000,6
6488000,606000,36
6490000,606000,13
6499000,606000,46
6500000,606000,21
6503000,606000,7
6504000,606000,8
6507000,606000,4
6508000,606000,7
6509000,606000,8
6510000,606000,0
6511000,606000,24
6512000,606000,49
6513000,606000,97
6516000,606000,12
6517000,606000,0
6519000,606000,0
6520000,606000,8
6521000,606000,3
6522000,606000,3
6526000,606000,5
6527000,606000,17
6528000,606000,15
6531000,606000,5
6533000,606000,7
6534000,606000,3
6536000,606000,12
6537000,606000,8
6542000,606000,3
6543000,606000,6
6545000,606000,18
6548000,606000,3
6550000,606000,16
6551000,606000,3
6557000,606000,13
6558000,606000,16
6560000,606000,3
6565000,606000,3
6568000,606000,11
6570000,606000,14
6572000,606000,3
6573000,606000,0
6574000,606000,0
6575000,606000,16
6576000,606000,16
6577000,606000,0
6578000,606000,4
6579000,606000,0
6580000,606000,3
6581000,606000,29
6582000,606000,42
6587000,606000,7
6588000,606000,14
6589000,606000,57
6590000,606000,10
6591000,606000,19
6592000,606000,29
6593000,606000,15
6598000,606000,9
6602000,606000,4
6604000,606000,9
6606000,606000,3
6607000,606000,20
6608000,606000,23
6609000,606000,3
6610000,606000,0
6611000,606000,9
6615000,606000,27
6616000,606000,19
6617000,606000,21
6618000,606000,4
6619000,606000,5
6620000,606000,20
6623000,606000,20
6624000,606000,0
6626000,606000,4
6627000,606000,73
6628000,606000,3
6630000,606000,13
6631000,606000,3
6632000,606000,15
6635000,606000,7
6636000,606000,8
6637000,606000,4
6638000,606000,12
6639000,606000,7
6640000,606000,35
6641000,606000,8
6642000,606000,0
6643000,606000,6
6645000,606000,9
6646000,606000,11
6649000,606000,6
6650000,606000,5
6651000,606000,3
6655000,606000,3
6656000,606000,4
6661000,606000,3
6664000,606000,0
6667000,606000,3
6668000,606000,9
6669000,606000,173
6670000,606000,224
6671000,606000,6
6672000,606000,16
6690000,606000,3
6691000,606000,0
6705000,606000,3
6706000,606000,10
6707000,606000,10
6708000,606000,25
6709000,606000,5
6710000,606000,0
6713000,606000,3
6714000,606000,3
6715000,606000,9
6716000,606000,3
6717000,606000,15
6721000,606000,39
6722000,606000,52
6723000,606000,0
6739000,606000,41
6741000,606000,0
6743000,606000,0
6744000,606000,0
6745000,606000,11
6746000,606000,5
6747000,606000,5
6748000,606000,3
6765000,606000,12
6767000,606000,5
6794000,606000,28
6795000,606000,19
6796000,606000,50
6797000,606000,17
6798000,606000,3
6799000,606000,5
6803000,606000,26
6804000,606000,36
6805000,606000,29
6811000,606000,7
6823000,606000,0
6824000,606000,70
6825000,606000,369
6826000,606000,26
6827000,606000,4
6829000,606000,17
6830000,606000,8
6831000,606000,3
6838000,606000,0
6847000,606000,7
6848000,606000,32
6849000,606000,33
6850000,606000,51
6851000,606000,18
6852000,606000,18
6853000,606000,4
6859000,606000,5
6860000,606000,74
6861000,606000,9
6862000,606000,17
6863000,606000,12
6864000,606000,0
6865000,606000,7
6866000,606000,9
6867000,606000,19
6873000,606000,20
6874000,606000,62
6875000,606000,20
6876000,606000,20
6879000,606000,16
6881000,606000,4
6906000,606000,17
6907000,606000,109
6908000,606000,76
6909000,606000,248
6910000,606000,98
6911000,606000,30
6912000,606000,20
6913000,606000,155
6914000,606000,89
6916000,606000,61
6922000,606000,12
6926000,606000,19
6931000,606000,23
6932000,606000,4
6933000,606000,13
6934000,606000,0
6938000,606000,18
6939000,606000,34
6940000,606000,28
6941000,606000,23
6942000,606000,9
6954000,606000,24
6955000,606000,4
6986000,606000,0
6987000,606000,0
7007000,606000,10
7008000,606000,24
7009000,606000,16
7010000,606000,19
7023000,606000,42
7079000,606000,0
7109000,606000,3
7110000,606000,15
7168000,606000,25
7169000,606000,5
7202000,606000,0
7216000,606000,9
7232000,606000,4
7233000,606000,7
7286000,606000,0
7287000,606000,0
7324000,606000,0
7328000,606000,25
7347000,606000,5
7349000,606000,4
6295000,607000,6
6299000,607000,0
6303000,607000,13
6304000,607000,7
6305000,607000,0
6306000,607000,12
6307000,607000,3
6308000,607000,0
6310000,607000,3
6315000,607000,13
6415000,607000,3
6418000,607000,4
6423000,607000,0
6435000,607000,0
6443000,607000,0
6447000,607000,4
6448000,607000,3
6450000,607000,45
6451000,607000,45
6452000,607000,10
6454000,607000,0
6460000,607000,3
6462000,607000,3
6463000,607000,5
6464000,607000,3
6465000,607000,3
6466000,607000,13
6467000,607000,12
6468000,607000,3
6471000,607000,4
6472000,607000,9
6475000,607000,0
6481000,607000,0
6483000,607000,7
6484000,607000,10
6487000,607000,4
6488000,607000,3
6499000,607000,17
