lat,lon,population
62.570145,17.072653,28
62.579116,17.073277,23
62.588086,17.073903,9
62.695730,17.081440,24
62.704700,17.082071,4
62.982770,17.101845,0
62.991740,17.102490,0
63.171132,17.115484,10
63.180101,17.116139,24
63.189071,17.116793,16
63.198040,17.117449,19
63.314642,17.126010,42
63.816895,17.163800,0
64.085940,17.184672,3
64.094908,17.185376,15
64.615024,17.227063,25
64.623991,17.227797,5
64.919896,17.252335,0
65.045426,17.262927,9
65.188886,17.275168,4
65.197852,17.275938,7
65.673034,17.317587,0
65.681999,17.318389,0
66.013704,17.348500,0
66.049563,17.351807,25
66.219888,17.367655,5
66.237817,17.369337,4
56.780965,16.759580,6
56.816884,16.761263,0
56.852802,16.762951,13
56.861782,16.763374,7
56.870761,16.763796,0
56.879741,16.764219,12
56.888721,16.764643,3
56.897700,16.765066,0
56.915659,16.765914,3
56.960556,16.768037,13
57.858424,16.811847,3
57.885358,16.813202,4
57.930248,16.815465,0
58.037981,16.820925,0
58.109802,16.824586,0
58.145712,16.826424,4
58.154689,16.826884,3
58.172644,16.827805,45
58.181622,16.828266,45
58.190599,16.828727,10
58.208554,16.829650,0
58.262418,16.832426,3
58.280373,16.833354,3
58.289350,16.833818,5
58.298327,16.834283,3
58.307304,16.834747,3
58.316282,16.835212,13
58.325259,16.835678,12
58.334236,16.836143,3
58.361167,16.837542,4
58.370145,16.838009,9
58.397076,16.839411,0
58.450938,16.842222,0
58.468892,16.843162,7
58.477869,16.843632,10
58.504800,16.845044,4
58.513777,16.845515,3
58.612522,16.850718,17
58.630475,16.851668,3
58.648429,16.852619,10
58.657405,16.853095,7
58.666382,16.853571,0
58.684335,16.854524,3
58.693312,16.855002,7
58.702289,16.855479,3
58.720242,16.856434,3
58.729218,16.856913,263
58.738195,16.857391,323
58.747171,16.857870,123
58.765125,16.858828,13
58.774101,16.859308,8
58.783077,16.859788,15
58.792054,16.860268,3
58.801030,16.860749,0
58.810007,16.861230,25
58.818983,16.861711,0
58.827960,16.862192,4
58.836936,16.862674,11
58.863865,16.864121,29
58.872841,16.864604,51
58.980556,16.870422,0
58.998509,16.871396,6
59.007485,16.871884,0
59.061341,16.874814,3
59.070317,16.875304,3
59.151101,16.879723,22
59.160076,16.880215,4
59.213931,16.883177,5
59.222907,16.883672,3
59.231883,16.884167,0
59.258810,16.885653,3
59.267786,16.886150,4
59.276761,16.886646,0
59.285737,16.887143,3
59.294713,16.887640,0
59.312664,16.888635,3
59.339591,16.890130,5
59.348566,16.890629,245
59.357542,16.891128,60
59.366517,16.891628,0
59.375493,16.892128,23
59.384468,16.892628,5
59.402419,16.893629,3
59.411395,16.894131,33
59.420370,16.894632,17
59.429346,16.895134,12
59.438321,16.895636,9
59.447297,16.896138,28
59.456272,16.896641,3
59.492173,16.898655,0
59.537050,16.901179,0
59.546025,16.901685,4
59.555000,16.902191,3
59.563976,16.902698,9
59.572951,16.903205,3
59.590901,16.904219,19
59.599876,16.904727,8
59.608851,16.905235,33
59.617827,16.905743,20
59.644752,16.907270,34
59.662702,16.908290,14
59.671677,16.908800,3
59.680652,16.909311,0
59.689627,16.909822,3
59.698602,16.910333,13
59.725527,16.911869,5
59.734502,16.912381,12
59.743477,16.912894,8
59.752452,16.913407,24
59.761427,16.913921,183
59.770402,16.914435,292
59.779376,16.914949,11
59.788351,16.915463,0
59.797326,16.915978,4
59.806301,16.916493,44
59.815276,16.917009,21
59.824251,16.917525,17
59.833225,16.918041,71
59.842200,16.918557,4
59.851175,16.919074,0
59.860150,16.919591,11
59.869124,16.920108,28
59.878099,16.920626,12
